date,text
2022-03-16 17:52:24,"U.N. court orders Russia to halt its invasion of Ukraine, in a largely symbolic ruling Russia was ordered to halt its invasion of Ukraine by the United Nations’ top court on Wednesday, in a preliminary decision that appeared to have largely symbolic significance...Ukraine initiated the case at the International Court of Justice in The Hague to contest President Vladimir Putin’s official explanation for entering the country as an effort to end a “genocide” of pro-Russian separatists...Though the court’s preliminary order is in theory binding under international law, there were no signs that Moscow would comply. No Russian representatives showed up when Ukraine argued its case last week. Read the full story"
2022-03-16 19:41:25,"U.S. providing long-range aircraft systems, drones to Ukraine to defend itself from Russian assault, Biden says President Biden announced he will activate $800 million more in security assistance “to help Ukraine fend off Russia’s assault.” He outlined the new assistance package that will include anti-aircraft systems and drones to help fend off Russian attacks...“We're going to continue to have their backs as they fight for their freedom and democracy,” Biden said...Biden’s announcement came shortly after an address to U.S lawmakers from Ukrainian President Volodymyr Zelensky. In an insistent and emotional address, he made a plea for support to protect the skies over Ukraine and defend against Russia’s attacks, calling for a “humanitarian no-fly zone” — a call that comes as suspected Russian munitions struck another apartment building in Kyiv, the Ukrainian capital, in an attack that has become part of a daily pattern. More live updates here"
2022-03-16 23:11:28,"Our video highlights and what we know at the end of day 21 of the war in Ukraine :..- An airstrike hit Mariupol’s Drama Theater, a cultural site in the heart of the besieged city where hundreds of residents have been seeking shelter in recent days, local Ukrainian officials said Wednesday. There was no immediate information on deaths or injuries..- President Biden on Wednesday called Russian President Vladimir Putin a “war criminal” for the first time publicly. His comments came as a response to a question by reporter at a White House event..- Ukrainian President Volodymyr Zelensky made an insistent and emotional address to the U.S. Congress, asking them for support to protect the skies over Ukraine and defend against Russia’s attacks. Biden announced shortly after that he will activate $800 million more in a new assistance package that will include anti-aircraft systems and drones to help fend off Russian attacks. Read all our coverage here."
2022-03-17 06:31:22,Here is the status of Ukrainian cities under Russian attack as of March 16. Read more details here.
2022-03-17 09:17:31,"Here is the latest from Ukraine: - Attacks on civilian targets in Ukraine continued Wednesday, as a Russian airstrike hit a theater in Mariupol where hundreds of residents were sheltering. The number of casualties was unknown, and Russia denied responsibility. The attacks come as U.S. President Biden for the first time publicly called Russian President Vladimir Putin a ""war criminal."" ..- Ukrainian President Volodymyr Zelensky on Wednesday accused Russia of “firing at humanitarian columns of buses” and “gathering points” for evacuations. There had been some successful evacuations from besieged cities in recent days...- The U.N. Security Council will hold an emergency meeting Thursday on the situation in Ukraine. Stymied in some places by stronger-than-expected resistance and logistical problems, Russia is deliberating reinforcement of its troops and supplies, the Pentagon said. More live updates here"
2022-03-17 11:51:37,"This city is keeping the Russian forces from reaching Odessa. But civilians are paying the price. Mykolaiv, a city of about 500,000 people on Ukraine’s Black Sea shoreline, is all that’s standing in Russia’s way of an assault on the major port city of Odessa...But despite more than a week of heavy bombardment, Ukraine’s forces in Mykolaiv have thwarted Russian advances — a major blow to the Kremlin’s apparent plans for an attack on Odessa, an economic lifeline for Ukraine as one of the largest Black Sea ports. Watch our report and read more about Mykolaiv’s resistance here"
2022-03-17 14:06:07,How the West is breaking through Russia’s propaganda wall An international resistance of computer programmers and volunteer “information warriors” is racing to pierce Kremlin propaganda and expose ordinary Russians to the uncensored truth of a brutal war...They’ve built tools that allow anyone to surprise Russian citizens with text messages detailing the war’s civilian death toll. They’ve published antiwar videos and news sites built to evade Russian government bans. They’ve even cobbled together databases with the personal details of Russian military personnel — all in the hopes of fomenting rebellion across the new Iron Curtain. Read the full story here
2022-03-17 17:29:18,"Mariupol mayor calls strike on Drama Theater a ‘terrible tragedy’ as reports of survivors emerge Mayor Vadym Boychenko called a Russian strike on a Mariupol's Drama Theater, where civilians were sheltering, a “terrible tragedy” in a video late Wednesday. He blamed Russian forces, which have denied responsibility...Satellite images from before the attack showed the word “children” written in Russian in large white letters on the ground on both sides of the theater...The fate of hundreds of residents who had been sheltering in the building remains unclear but multiple lawmakers said that many people had emerged alive from the theater's basement...Ukrainian officials said Thursday that rescue efforts were being hampered by rubble and continued shelling. Read the full story here"
2022-03-17 19:02:18,"‘My life is now filled with guilt’: Desperate Ukrainians search for missing relatives in Mariupol For two weeks, residents in Mariupol have lived without electricity, running water, heat or consistent phone connection. Ukrainians stuck outside the city seeking information about their missing loved ones, say they are also living in hell...They spend their days scouring horrific images, searching for familiar faces or clothing — anything that might bring news about their relatives still in Mariupol. They organize groups on Telegram and Facebook to try to coordinate information, and try to avoid groups that might be sharing false Russian propaganda. They check official lists of names of evacuees. They are overwhelmed by every possible scenario. Read the full story here:"
2022-03-17 22:04:26,"Slovakia will send Ukraine S-300 air defenses ‘immediately’ if NATO backfills its weapons Slovakia’s defense minister said Thursday that his country is prepared to send long-range surface-to-air missiles to Ukraine “immediately” — provided that Western allies give them a “proper replacement” to avoid creating a security gap...“The only strategic air defense system that we have in Slovakia is the S-300 system,” the defense minister, Jaroslav Nad’, said, referring to powerful Soviet-origin weapons that would enable the Ukrainian military to shoot down Russian warplanes flying several miles above the ground. Ukraine had a few before the invasion and has pleaded for more as Russian forces have intensified their bombardment of key cities...Asked if the U.S. was prepared to send Slovakia replacements, such as Patriot missiles, Austin demurred. “These are things we will continue to work with all of our allies on and, certainly, this is not just a U.S. issue. It’s a NATO issue,” he said. Read the full story here"
2022-03-17 23:16:08,"Our video highlights and what we know at the end of day 22 of the war in Ukraine: - Mariupol, which has been a site of continued damage, is among several cities in Ukraine weathering a severe assault as Moscow’s military advances have been slowed or thwarted and its forces pound cities from afar. New satellite images, of locations such as Kharkiv and Sumy, have revealed landscapes of flattened buildings or neighborhoods on fire. ..- Ukrainian officials announced nine humanitarian corridors to allow civilians to flee besieged cities Thursday, as well as plans to deliver aid to places in need — a day after they said escape routes were being targeted by Russian forces. ..- The Pentagon will expand the size and scope of weaponry being rushed to Ukraine, the Biden administration said, including for the first time armed drones capable of inflicting significant damage on Russian ground units. More live updates here"
2022-03-18 06:39:12,Here is the status of Ukrainian cities under Russian attack as of March 17. Read more details here
2022-03-18 08:56:37,"Here is the latest from Ukraine: - The Russian invasion of Ukraine, now in its fourth week, is ""basically frozen"" on the ground amid fierce resistance and mounting logistical difficulties that have left Russian forces scrambling for food and fuel. But Western officials warned that the Kremlin still has significant combat power in reserve. ..- President Biden and his Chinese counterpart, Xi Jinping, will speak on Friday as concerns mount that Beijing will offer military equipment and aid to Moscow...- The United States denounced Russia’s decision to seek an emergency meeting at the United Nations Security Council on Friday to discuss American biological labs in Ukraine, calling it a means through which Moscow promotes “disinformation.”..- The Russian government made a $117 million interest payment to foreign bondholders on Wednesday, averting what would have been its first foreign debt default since 1918. More live updates here"
2022-03-18 10:57:09,"In Kharkiv, a rain of bombs and rockets takes a toll: ‘There are no coffins left’ The morgue in Ukraine's second city was overflowing...In the courtyard outside, scores of black and green body bags were stacked along two of its walls. On the other side, dozens more victims of Russia’s assault on this eastern city lay exposed to the elements...“We need body bags,” morgue director Yuriy Nikolaevich explained. Or at least plastic wrap, he said. There was nothing left to use to hand the dead back to their families: “There are no coffins left in the city.”..Failing in their attempts to enter the city for the past three weeks, Russian forces have rained down a daily shower of artillery fire, missiles and rockets, which appear to strike at random in civilian neighborhoods. The Washington Post also witnessed evidence of cluster bombs being used in the area around the main market in the city center. Read the full story here"
2022-03-18 13:41:32,"Russian government websites face ‘unprecedented’ wave of hacking attacks, ministry says Russian government websites and state-run media face an “unprecedented” wave of hacking attacks, the government said Thursday, prompting regulators to filter traffic coming from abroad...“We are recording unprecedented attacks on the websites of government authorities,” a statement from the Ministry of Digital Development and Communications said. ""That is, two to three times more powerful than the most serious incidents of this type previously recorded.”..Wednesday evening, the Russian Emergency Situations Ministry website was defaced by hackers, who altered its content. Notably, the hack replaced the department hotline with a number for Russian soldiers to call if they want to defect from the army — under the title “Come back from Ukraine alive.” Read the full story here"
2022-03-18 16:45:59,"Ukraine official says 130 rescued from Mariupol theater, but fate of 1,300 others remains unknown A Ukrainian official said 130 people have been rescued alive from a bombed theater in Mariupol — although the fate of an estimated 1,300 others who had been sheltering there remained unknown Friday...The figures, which could not be independently verified, are the first concrete details about the number of survivors rescued from the theater, which Ukrainian officials say was devastated by a Russian airstrike Wednesday...Ukraine’s human rights ombudswoman, Lyudmyla Denisova, told Ukrainian television that, according to her data, more than 1,300 people who were sheltering in a bomb shelter below the theater remain unaccounted for...The results of the bombing of Mariupol’s Drama Theater are “difficult to say,” she added in a video posted to her Telegram channel. More live updates here"
2022-03-18 20:18:07,"Our video highlights and what we know at the end of day 23 of the war in Ukraine: - Ukrainian officials said Friday that Russian missiles struck an aircraft repair facility near an airport in Lviv, a western city near Poland, sowing fears of new fronts opening...- In Mariupol, Ukrainian officials said roughly 1,300 people remained trapped in the basement of a theater struck by Russia on Wednesday. About 130 people survived and were able to leave what had been serving as a civilian shelter...- In the absence of major territorial advances, Russia is increasingly relying on sieges and unguided “dumb” bombs to wear down cities and civilians. The United Nations has confirmed 816 civilian deaths, including the deaths of 59 children, while warning that the real tolls are almost certainly far higher. More live updates here:"
2022-03-18 21:34:08,"Biden reaches out to China’s Xi on Ukraine President Biden, in a nearly two-hour video call Friday, warned China’s leader Xi Jinping that his country would face significant repercussions if it provides aid to Russia at a time when Moscow is pressing ahead with an invasion of Ukraine that has been met with global condemnation...Biden “described the implications and consequences if China provides material support to Russia as it conducts brutal attacks against Ukrainian cities and civilians,” the White House said in a statement...The call was part of an urgent U.S. effort to head off any Chinese moves to provide economic or military help to Russia as America and its allies try to shut down Moscow’s financial lifelines. At a time when many Western countries have imposed tough sanctions on Russia, China remains one of its few potentially powerful sources of support. Read the full story here :"
2022-03-18 23:10:14,"Inside the transfer of foreign military equipment to Ukrainian soldiers ON THE POLAND-UKRAINE BORDER — There were no passport officers on the dirt road, no customs lane, no signs marking this isolated patch of farmland for what it has become: a clandestine gateway for military supplies entering Ukraine...“No pictures, no pictures,” shouted a Polish border guard as a convoy of 17 trucks hissed to a halt on a biting morning this week...Not far from here was a Ukrainian military base where at least 35 people had been killed a few days earlier by a Russian missile barrage, and no one wanted to call attention to this ad hoc border crossing...Washington Post journalists were given permission to observe the delivery on the condition that they turn off the geolocation function on their cameras. Read the full story here :"
2022-03-19 08:10:08,Here is the status of Ukrainian cities under Russian attack as of March 18. Read more details here
2022-03-19 09:43:59,"Here is the latest from Ukraine: - Ukrainian forces continued to put up a defiant defense of their country’s cities, limiting Russian ground advances as the Kremlin’s invasion enters its 24th day. ..- Major population centers such as Kyiv and Kharkiv remain in Ukrainian hands and Russia’s troops are still “stalled across the country,” the Pentagon said, even as it cautioned that Moscow retains 90 percent of its assembled combat power...- The United Nations said Friday that roughly 9.8 million people have either fled Ukraine or are internally displaced as a result of the fighting, while 12 million are stranded or otherwise face dangerous living conditions. More live updates here"
2022-03-19 13:08:36,"Evacuees from besieged Mariupol describe horrors of Russian attacks ZAPORIZHZHIA, Ukraine — Traumatized residents from Mariupol, Ukraine, arrived in a nonstop stream of cars at a humanitarian aid station on Friday, describing urban fighting and devastation as Ukrainian forces appeared to lose their grip on parts of the battered city...They arrived in a near-constant convoy in the city of Zaporizhzhia, 140 miles to the northwest, their vehicles marked with white flags and signs reading “children” in the hope that it would spare them from attack...Some families drove cars with their windshields smashed out or shattered from the force of explosions near their homes. One car, struck in a rocket attack, looked as if it had defied the odds by being able to move at all, one side completely punched in by the impact...But with vehicles the only way out, anything that could move was put to use. Some cars were crammed with eight or nine people. Read the full story here"
2022-03-19 15:11:31,"Mixed signals from Ukraine’s president and his aides leave West confused about his end game The mounting death toll in Ukraine has forced President Zelensky to consider concessions to Russia in order to bring an end to the devastating conflict, but the specific elements of any peace deal his government may be discussing with Moscow remain a mystery to Western leaders, said U.S. and European officials...The secretive rounds of meetings between Russian and Ukrainian negotiators could hold the key to ending the conflict but also carry broader implications for European security depending on how the warring parties settle their differences. If Putin can use military force to compel political change in Ukraine, he could use the same tactic elsewhere, officials fear...The prospects of a near-term deal look bleak, diplomats say, but mixed signals from Zelensky about how close he is to striking an agreement have only heightened anxiety about the trajectory of the negotiations. Read the full story here"
2022-03-19 20:03:06,"Our video highlights and what we know at the end of day 24 of the war in Ukraine: Ukrainian forces appeared to be losing their grip Saturday on Mariupol, with Russian forces advancing farther into parts of the besieged southern port city...Fierce fighting for control of the strategically important city continued to hinder search and rescue efforts for hundreds of civilians believed trapped beneath the rubble of a theater after Russia bombed it Wednesday. ..Other major population centers, including Kyiv and Kharkiv, remained in Ukrainian hands, as the Pentagon estimated that Russia’s troops were “stalled across the country.” More live updates here:"
2022-03-20 03:09:59,Here is the status of Ukrainian cities under Russian attack as of March 19. Read more details here
2022-03-20 08:30:48,"Here is the latest from Ukraine: - Russia’s “continued failure” to gain control of the air has “significantly blunted” its operational progress, British defense intelligence officials said. Satellite images show Russian forces digging in to maintain defensive positions around Kyiv's periphery as Kremlin efforts to seize the capital continue to be frustrated by Ukrainian resistance. ..- In a video address to Swiss lawmakers, President Volodymyr Zelensky appealed to the government for a “full freeze of all accounts of those who unleashed this war,” calling out Swiss food giant Nestlé for continuing to do business in Russia. ..- More than 6,600 people made it through humanitarian corridors in Ukraine on Saturday, Deputy Prime Minister Iryna Vereshchuk said...- About 1.5 million children have fled Ukraine in the three weeks since Russia’s invasion, UNICEF said Saturday, and they face heightened risk of being trafficked or exploited. More live updates here"
2022-03-20 13:45:50,"Ukrainian officials say Russian forces bombed art school with 400 inside The city council of Mariupol, in the southeast of Ukraine, alleged on Sunday that Russian armed forces bombed an arts school that was sheltering 400 residents...The council said in a post on Telegram that women, children and elderly people had taken refuge inside Art School No. 12 in the Left Bank district of eastern Mariupol. It said the building was destroyed on Saturday and civilians “are still under the rubble,” but it did not say whether anyone had died...“Information on the number of victims is being clarified,” it added...The Washington Post could not independently verify the council’s claims. Mariupol has been surrounded by Russian armed forces for weeks. Access to food, water and medicine has been limited, and efforts to evacuate civilians have worked only intermittently amid heavy Russian shelling. More live updates here"
2022-03-21 00:01:14,"Our video highlights and what we know at the end of day 24 of the war in Ukraine: - Russian forces are now present in all civilian neighborhoods in Ukraine’s strategic port city of Mariupol, where the battle for control has descended into house-to-house guerrilla warfare, Ukrainian military and city officials said Sunday...- Seven humanitarian corridors were established in Ukraine on Sunday, Deputy Prime Minister Iryna Vereshchuk said. On Saturday, 4,000 people fled Mariupol, where about 39,000 residents have been able to leave over the past week, according to the city council...- A senior Biden administration official on Sunday ruled out any U.S. military participation in a proposed NATO peacekeeping mission in Ukraine, as heads of state prepare for a planned alliance summit this week. More live updates here"
2022-03-21 07:24:47,Here is the status of Ukrainian cities under Russian attack as of March 20. Read more details here
2022-03-21 09:03:57,"Here is the latest from Ukraine: - Ukraine's deputy prime minister rejected the Kremlin's calls to surrender Mariupol by Monday morning amid a bloody onslaught that has descended into intense street fighting...- The Russian military is approaching a stalemate in many other parts of the country, including outside Kyiv, where munitions struck a shopping center and an apartment complex Sunday. Military experts have expressed concern that the Kremlin will turn to increasingly deadlier missile strikes on Ukrainian cities to compensate for its lack of battlefield progress...- U.S. President Biden will travel to Europe this week for a summit with other NATO leaders to discuss the war, as well as to Poland to meet with President Andrzej Duda. Poland has floated the idea of creating a peacekeeping force in Ukraine, stemming from NATO or some other organization. A senior Biden administration official on Sunday ruled out any U.S. military participation in a peacekeeping mission. More live updates here"
2022-03-21 11:12:04,"Slovenia will ‘soon’ send diplomats back to Kyiv, prime minister says The prime minister of Slovenia said his country would send diplomats back to Ukraine’s capital “soon,” even as Russian forces close in...“They are volunteers,” tweeted Prime Minister Janez Jansa. “We are working to make [the European Union] do the same.” He said Ukraine “needs direct diplomatic support.”..Jansa was one of three European heads of government who traveled to Kyiv last week to meet with President Zelensky. Observers called the trip risky, even as approaching Russian forces seemed to have stalled outside the capital. ..Late Sunday, explosions rocked Kyiv's Podilskyi district after Russian forces bombed a mall, burying several people in rubble...Some countries, including the United States, pulled embassy staffers from Kyiv before Russia launched its full-scale invasion, worried about diplomats’ safety as the situation escalated. More live updates here"
2022-03-21 22:42:18,"White House believes Russia is seeing a big drop in oil sales, imperiling key source of funding Senior Biden aides believe that Russia is suffering a dramatic decline in oil sales that stands to deprive the Kremlin of a key source of government revenue, according to a senior administration official and one person briefed by a senior administration official, both of whom spoke on the condition of anonymity to share an assessment not yet made public...The Biden administration is examining private industry data showing that sales of Russian crude oil by vessel went from roughly 2 million barrels a day to close to zero between March 15 and March 20, the people said. ..The official said that more than 2 million barrels of Russian oil sold per day have been taken out of the market and that Asian buyers are not stepping in to fully fill the gap. Read the full story here"
2022-03-22 03:21:43,"Our video highlights and what we know at the end of day 25 of the war in Ukraine - President Zelensky remained defiant Monday, saying he would never agree to an ultimatum from Russia or surrender Ukraine’s cities, even as the Kremlin continued its bombardment of the capital, the coast and elsewhere...- In Kyiv, an attack on a shopping mall late Sunday reduced much of the area to rubble, killing at least eight people and leaving civilians on edge. The capital remains one of Moscow’s primary targets. ..- Ukrainian officials said seven of the eight humanitarian corridors for Ukrainians fleeing violence operated successfully Monday, allowing just over 8,000 people to evacuate, most from Mariupol and the Kyiv region. ..- Ukrainians have grown more confident in their country’s ability to repel Russia’s invasion, according to a new poll that found 91 percent of Ukrainian respondents believe Ukraine will emerge victorious from the war. More live updates here"
2022-03-22 06:30:43,Here is the status of Ukrainian cities under Russian attack as of March 21. Read more details here.
2022-03-22 09:16:07,"Here is the latest from Ukraine. - Russia has used hypersonic missiles in Ukraine, President Biden confirmed Monday, a move he suggested was in response to Moscow’s stalled ground campaign. Russia said last week that it had twice launched the missiles, which travel faster than five times the speed of sound and haven’t previously been used in combat. ..- Satellite images released Monday offer a bird’s-eye view of the destruction in Mariupol, showing large swaths of bombed-out neighborhoods, with gray and black smoke marking smoldering ruins. The port city has refused to surrender despite weeks of bombardment...- Biden warned Putin could seek to escalate the war by using biological and chemical weapons in Ukraine, though he did not provide evidence. The Pentagon also said it has detected “increased naval activity” in the northern Black Sea, where the port city of Odessa is bracing for a potential assault. More live updates here."
2022-03-22 10:44:12,"U.N. agencies setting up border refugee centers to help separated families United Nations agencies are setting up support centers for children and women fleeing the war in Ukraine that are designed to protect them and serve as information hubs for traveling families, a spokesman for the U.N. secretary general said...Workers at the ""Blue Dot"" centers, at border entry points and other strategic locations in neighboring countries, will identify unaccompanied or separated children and help them reconnect with their families. ..A UNICEF news release said the hubs will also offer psychosocial support and referrals to social workers and health services...According to UNICEF, 26 Blue Dots — which can each serve up to 5,000 people a day — will be opened in Moldova, Romania, Belarus, Slovakia, Poland, Hungary and the Czech Republic. Read the full story here."
2022-03-22 12:15:31,"Biden heads to Europe in an effort to bolster the Western alliance President Biden will travel to Belgium and Poland this week, as the Russian invasion of Ukraine approaches the one-month mark with no sign of letting up...Biden will land in Brussels Wednesday night, where he will attend a NATO summit, a Group of 7 meeting and a session of European Union heads of state. He will then travel to Poland, where he will meet President Duda on Saturday and is expected to promise significant U.S. help with the refugee crisis...As divisions emerge between allies who want to supply offensive weapons such as fighter jets and others who are wary of escalating the confrontation with Moscow, Biden will seek to hold together a Western alliance that is beginning to show potential cracks. Read the full story here."
2022-03-22 21:36:51,"U.N. chief says the ‘war is going nowhere, fast’ United Nations Secretary General António Guterres described the war in Ukraine as “unwinnable” Tuesday, calling for an end to the fighting and for serious negotiations at the “peace table.”..In the nearly one month since Russian began its invasion, Guterres told reporters that the fighting has only become more “destructive and more unpredictable.”..He spoke of Mariupol, the Ukrainian port city on the Sea of Azov that has been the site of continued destruction, with strikes hitting a maternity ward and a theater that served as a shelter, and where the conflict has devolved into house-to-house warfare. Read the full story here."
2022-03-22 22:14:15,"Our video highlights and what we know at the end of day 26 of the war in Ukraine - Biden, in his trip to Europe, is seeking to hold together a Western alliance that is beginning to show potential cracks . He will make a symbolic appearance in Poland, a country whose leaders fear it could be a future target of Russian aggression...- Forest fires have broken out around the Chernobyl nuclear power plant , Ukraine’s parliament said, raising fears they could spread radiation...- At least 82,525 square kilometers (31,863 square miles) of land in Ukraine could be laced with dangerous explosive devices , according to the Ukrainian Sappers’ Association, a national demining nonprofit. More live updates here."
2022-03-23 07:15:38,Here is the status of Ukrainian cities under Russian attack as of March 22. Read more details here.
2022-03-23 09:59:54,"Here is the latest from Ukraine. - President Biden will announce a new package of sanctions against Russia this week when he travels to Brussels to meet with European leaders, the White House said...- Moscow’s siege of the strategic port city of Mariupol has entered a bloody new phase. Russian forces are shelling from the sea and vivid new satellite images show widespread destruction. Approximately 6,000 were evacuated Tuesday, but about 100,000 people are still trapped — many without food or water — in conditions President Zelensky has described as “inhumane.”..- Zelensky said talks are underway for two potential high-level visits from dignitaries: Pope Francis and the foreign minister of Greece, who offered to lead a humanitarian mission to Mariupol...- The Pentagon said it had seen indications of Kyiv’s forces going on the offensive, with Ukraine saying Tuesday that it had retaken the town of Makariv, near the capital. More live updates here."
2022-03-23 11:52:35,"Russian air force action increases despite flood of antiaircraft missiles into Ukraine The air war over Ukraine appears to have entered a new phase, with the Russian air force boosting the number of flights it makes per day by 50 percent and deploying an increasing array of Russian drones and munitions over the battlefield, according to U.S. defense officials and military analysts...The expansion comes after Ukraine shot down numerous aircraft early in the war and despite the United States and its allies sending thousands of man-portable air-defense systems to Ukraine...The missiles have forced Russia to adjust its aviation operations, but have not stopped them, analysts said. On Monday, a senior U.S. defense official said Russia had flown about 300 sorties in the previous 24 hours, up from an average of about 200 per day earlier in the war. Read the full story here."
2022-03-23 14:31:28,"Life underground: Ukrainian families make new homes in the Kharkiv subway A bunch of tulips sits in the window of the subway car that Vladlena Igorivna, her mother and two young sons have slept in for more than three weeks. It’s a small reminder of the outside world in an otherwise nearly entirely subterranean life...Trips up the escalators for fresh air are rare, and brief. Their eyes, so used to their new dim surroundings, hurt in the sunlight. Her sons Nazar, 6, and Makar, 3, are scared of being outside...“The kids hear the bombs go off and they want to come down again,” Igorivna, 31, explained. “Every day I want to go out for a walk, but I can’t. I just want to go home.”..For nearly a month, thousands of Kharkiv residents have lived deep underground in the city’s metro system to shelter from a daily rain of artillery fire, rockets and cluster bombs. Moscow’s assault on its neighbor has uprooted 10 million people — a quarter of Ukraine’s population — in a matter of weeks. Read the full story here."
